epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4161.44,1.63556,1.35559,2.18589,0.92855,0.87129,0.95039,0.59321,1.31346,1.11751,1.9254,0.0016304,0.0016304,0.0016304
58,4238.62,1.61338,1.43965,2.17969,0.81726,0.88558,0.92486,0.56431,1.36964,1.17892,1.96166,0.0016238,0.0016238,0.0016238
59,4311.97,1.59833,1.32417,2.10084,0.88074,0.84088,0.91967,0.57779,1.34157,1.08947,1.95201,0.0016172,0.0016172,0.0016172
60,4386.16,1.70406,1.39142,2.22723,0.90288,0.82839,0.93436,0.58585,1.31876,1.06202,1.95541,0.0016106,0.0016106,0.0016106
61,4459.73,1.62158,1.39613,2.18632,0.87548,0.83533,0.91686,0.55195,1.41322,1.12423,1.9821,0.001604,0.001604,0.001604
62,4532.11,1.59624,1.32096,2.12097,0.90313,0.86634,0.94477,0.59279,1.35504,1.0405,1.97818,0.0015974,0.0015974,0.0015974
63,4604.16,1.64139,1.33283,2.16663,0.8952,0.84571,0.92787,0.56037,1.40643,1.11011,2.02769,0.0015908,0.0015908,0.0015908
64,4676.32,1.55883,1.3036,2.10726,0.81229,0.90594,0.91752,0.59069,1.2809,1.03604,1.86665,0.0015842,0.0015842,0.0015842
65,4748.65,1.52262,1.2365,2.03432,0.89866,0.87129,0.94934,0.60686,1.30285,1.08891,1.92841,0.0015776,0.0015776,0.0015776
66,4820.72,1.69091,1.32175,2.18878,0.96215,0.88101,0.95756,0.60634,1.30323,0.9758,1.87493,0.001571,0.001571,0.001571
67,4893.33,1.56981,1.25375,2.07681,0.86416,0.86139,0.92411,0.58855,1.29294,1.09654,1.87678,0.0015644,0.0015644,0.0015644
68,4965.55,1.61966,1.2381,2.09465,0.91973,0.85084,0.93521,0.56638,1.37908,1.04275,1.90409,0.0015578,0.0015578,0.0015578
69,5038.44,1.60407,1.29968,2.0991,0.9573,0.8879,0.96475,0.63842,1.23629,0.92768,1.80221,0.0015512,0.0015512,0.0015512
